price,millage,year,make,model,city,state,accidents,owners,use
13130,34770,2019,Hyundai,Elantra, Jersey City, NJ,0,1.0,Personal
22990,53762,2018,Honda,Accord, New York, NY,0,1.0,Personal
15788,24317,2019,Ford,Fusion, Bronx, NY,0,1.0,Personal
4950,146988,2007,BMW,X3, Brooklyn, NY,2,4.0,Fleet
4950,92136,2010,Dodge,Journey, Brooklyn, NY,0,3.0,Fleet
22497,25812,2019,Chrysler,300, Jersey City, NJ,0,1.0,Personal
22897,34415,2020,Kia,Sorento, Jersey City, NJ,0,1.0,Personal
25397,34158,2020,GMC,Terrain, Jersey City, NJ,0,1.0,Personal
20297,22218,2019,Dodge,Journey, Jersey City, NJ,0,1.0,Personal
16597,21710,2019,Ford,Fusion, Jersey City, NJ,0,1.0,Personal
22997,21483,2019,Chrysler,300, Jersey City, NJ,0,1.0,Personal
3495,199066,2005,Toyota,Prius, Jamaica, NY,2,4.0,Personal
18995,94764,2017,Jeep,Grand Cherokee, Brooklyn, NY,0,1.0,Personal
16497,22205,2019,Ford,Fusion, Jersey City, NJ,0,1.0,Personal
3699,140710,2008,Scion,xD, Union City, NJ,1,4.0,Personal
20397,21541,2019,Dodge,Journey, Jersey City, NJ,0,1.0,Personal
18297,34279,2019,Nissan,Rogue, Jersey City, NJ,0,1.0,Personal
17497,34196,2019,Chevrolet,Impala, Jersey City, NJ,0,1.0,Personal
17897,31601,2019,Dodge,Grand Caravan, Jersey City, NJ,0,1.0,Personal
17897,29420,2019,Ford,Escape, Jersey City, NJ,0,1.0,Personal
16997,40000,2019,Toyota,Camry, Jersey City, NJ,0,1.0,Personal
16995,98757,2017,Cadillac,XT5, Brooklyn, NY,1,1.0,Personal
23797,13950,2020,Kia,Sorento, Jersey City, NJ,0,1.0,Personal
16995,38724,2017,Honda,Civic, Bergenfield, NJ,0,1.0,Personal
21697,34971,2019,Chevrolet,Express Passenger, Jersey City, NJ,0,1.0,Personal
12995,38899,2017,Honda,Accord, Long Island City, NY,5,1.0,Personal
14900,108950,2017,Ford,Explorer, Belford, NJ,0,2.0,Personal
20697,32750,2019,Jeep,Compass, Jersey City, NJ,0,1.0,Personal
11995,58867,2017,Ford,Escape, Newark, NJ,0,1.0,Fleet
7998,50770,2015,Chrysler,200, Forest Hills, NY,0,1.0,Personal
19297,22320,2019,Nissan,Rogue, Jersey City, NJ,0,1.0,Personal
14388,32508,2017,Toyota,Camry, Little Falls, NJ,0,1.0,Personal
9880,48876,2011,Mercedes-Benz,C-Class, Bloomfield, NJ,2,3.0,Personal
13130,34770,2019,Hyundai,Elantra, Jersey City, NJ,0,1.0,Personal
22990,53762,2018,Honda,Accord, New York, NY,0,1.0,Personal
15788,24317,2019,Ford,Fusion, Bronx, NY,0,1.0,Personal
4950,146988,2007,BMW,X3, Brooklyn, NY,2,4.0,Fleet
4950,92136,2010,Dodge,Journey, Brooklyn, NY,0,3.0,Fleet
22497,25812,2019,Chrysler,300, Jersey City, NJ,0,1.0,Personal
22897,34415,2020,Kia,Sorento, Jersey City, NJ,0,1.0,Personal
25397,34158,2020,GMC,Terrain, Jersey City, NJ,0,1.0,Personal
20297,22218,2019,Dodge,Journey, Jersey City, NJ,0,1.0,Personal
16597,21710,2019,Ford,Fusion, Jersey City, NJ,0,1.0,Personal
22997,21483,2019,Chrysler,300, Jersey City, NJ,0,1.0,Personal
3495,199066,2005,Toyota,Prius, Jamaica, NY,2,4.0,Personal
18995,94764,2017,Jeep,Grand Cherokee, Brooklyn, NY,0,1.0,Personal
16497,22205,2019,Ford,Fusion, Jersey City, NJ,0,1.0,Personal
3699,140710,2008,Scion,xD, Union City, NJ,1,4.0,Personal
20397,21541,2019,Dodge,Journey, Jersey City, NJ,0,1.0,Personal
18297,34279,2019,Nissan,Rogue, Jersey City, NJ,0,1.0,Personal
17497,34196,2019,Chevrolet,Impala, Jersey City, NJ,0,1.0,Personal
17897,31601,2019,Dodge,Grand Caravan, Jersey City, NJ,0,1.0,Personal
17897,29420,2019,Ford,Escape, Jersey City, NJ,0,1.0,Personal
16997,40000,2019,Toyota,Camry, Jersey City, NJ,0,1.0,Personal
16995,98757,2017,Cadillac,XT5, Brooklyn, NY,1,1.0,Personal
23797,13950,2020,Kia,Sorento, Jersey City, NJ,0,1.0,Personal
16995,38724,2017,Honda,Civic, Bergenfield, NJ,0,1.0,Personal
21697,34971,2019,Chevrolet,Express Passenger, Jersey City, NJ,0,1.0,Personal
12995,38899,2017,Honda,Accord, Long Island City, NY,5,1.0,Personal
14900,108950,2017,Ford,Explorer, Belford, NJ,0,2.0,Personal
20697,32750,2019,Jeep,Compass, Jersey City, NJ,0,1.0,Personal
11995,58867,2017,Ford,Escape, Newark, NJ,0,1.0,Fleet
7998,50770,2015,Chrysler,200, Forest Hills, NY,0,1.0,Personal
19297,22320,2019,Nissan,Rogue, Jersey City, NJ,0,1.0,Personal
14388,32508,2017,Toyota,Camry, Little Falls, NJ,0,1.0,Personal
9880,48876,2011,Mercedes-Benz,C-Class, Bloomfield, NJ,2,3.0,Personal
11972,88340,2010,Mercedes-Benz,CLS, Jersey City, NJ,0,6.0,Fleet
8972,117356,2009,Lexus,RX, Jersey City, NJ,0,1.0,Personal
15797,27494,2019,Mitsubishi,Eclipse Cross, Jersey City, NJ,0,1.0,Personal
19197,20999,2019,Dodge,Journey, Jersey City, NJ,0,1.0,Personal
15492,81321,2016,Ford,Edge, Jersey City, NJ,0,1.0,Personal
8499,79032,2012,Honda,Civic, Union City, NJ,0,2.0,Personal
8999,73277,2013,Chrysler,Town & Country, Union City, NJ,0,1.0,Personal
20995,38944,2017,Honda,Accord, Union City, NJ,1,1.0,Personal
17972,60765,2017,Jeep,Grand Cherokee, Jersey City, NJ,0,2.0,Personal
52997,28436,2019,Lincoln,Navigator, Jersey City, NJ,0,1.0,Personal
8972,98629,2009,BMW,5 Series, Jersey City, NJ,1,2.0,Fleet
8973,101516,2011,Volvo,C70, Jersey City, NJ,0,3.0,Personal
3972,133186,2010,Kia,Forte, Jersey City, NJ,0,2.0,Personal
3699,140710,2008,Scion,xD, Union City, NJ,1,4.0,Personal
18597,26800,2020,Chevrolet,Malibu, Jersey City, NJ,0,1.0,Personal
16897,28319,2019,Mitsubishi,Outlander, Jersey City, NJ,0,1.0,Personal
22597,23878,2019,Chevrolet,Express Passenger, Jersey City, NJ,0,1.0,Personal
9495,77770,2016,Nissan,Altima, Union City, NJ,1,2.0,Fleet
17984,88193,2013,BMW,7 Series, Jersey City, NJ,0,2.0,Personal
22792,85399,2014,BMW,6 Series, Jersey City, NJ,0,3.0,Fleet
15297,24433,2019,Kia,Soul, Jersey City, NJ,0,1.0,Personal
17495,46675,2015,Ford,Edge, Union City, NJ,0,1.0,Personal
21995,92517,2015,Mercedes-Benz,GL, Union City, NJ,1,1.0,Personal
14597,35562,2019,Kia,Soul, Jersey City, NJ,0,1.0,Personal
12995,39667,2015,Chevrolet,Equinox, Union City, NJ,0,1.0,Personal
12777,106105,2006,Lexus,SC, Jersey City, NJ,2,5.0,Personal
