price,millage,location,year,make,model,city,state,accidents,owners,use,name
13130,34770,"Jersey City,  NJ",2019,Hyundai,Elantra,Jersey City, NJ,0,1.0,Personal,Hyundai Elantra
22990,53762,"New York,  NY",2018,Honda,Accord,New York, NY,0,1.0,Personal,Honda Accord
15788,24317,"Bronx,  NY",2019,Ford,Fusion,Bronx, NY,0,1.0,Personal,Ford Fusion
4950,146988,"Brooklyn,  NY",2007,BMW,X3,Brooklyn, NY,2,4.0,Fleet,BMW X3
4950,92136,"Brooklyn,  NY",2010,Dodge,Journey,Brooklyn, NY,0,3.0,Fleet,Dodge Journey
22497,25812,"Jersey City,  NJ",2019,Chrysler,300,Jersey City, NJ,0,1.0,Personal,Chrysler 300
22897,34415,"Jersey City,  NJ",2020,Kia,Sorento,Jersey City, NJ,0,1.0,Personal,Kia Sorento
25397,34158,"Jersey City,  NJ",2020,GMC,Terrain,Jersey City, NJ,0,1.0,Personal,GMC Terrain
20297,22218,"Jersey City,  NJ",2019,Dodge,Journey,Jersey City, NJ,0,1.0,Personal,Dodge Journey
16597,21710,"Jersey City,  NJ",2019,Ford,Fusion,Jersey City, NJ,0,1.0,Personal,Ford Fusion
22997,21483,"Jersey City,  NJ",2019,Chrysler,300,Jersey City, NJ,0,1.0,Personal,Chrysler 300
3495,199066,"Jamaica,  NY",2005,Toyota,Prius,Jamaica, NY,2,4.0,Personal,Toyota Prius
18995,94764,"Brooklyn,  NY",2017,Jeep,Grand Cherokee,Brooklyn, NY,0,1.0,Personal,Jeep Grand Cherokee
16497,22205,"Jersey City,  NJ",2019,Ford,Fusion,Jersey City, NJ,0,1.0,Personal,Ford Fusion
3699,140710,"Union City,  NJ",2008,Scion,xD,Union City, NJ,1,4.0,Personal,Scion xD
20397,21541,"Jersey City,  NJ",2019,Dodge,Journey,Jersey City, NJ,0,1.0,Personal,Dodge Journey
18297,34279,"Jersey City,  NJ",2019,Nissan,Rogue,Jersey City, NJ,0,1.0,Personal,Nissan Rogue
17497,34196,"Jersey City,  NJ",2019,Chevrolet,Impala,Jersey City, NJ,0,1.0,Personal,Chevrolet Impala
17897,31601,"Jersey City,  NJ",2019,Dodge,Grand Caravan,Jersey City, NJ,0,1.0,Personal,Dodge Grand Caravan
17897,29420,"Jersey City,  NJ",2019,Ford,Escape,Jersey City, NJ,0,1.0,Personal,Ford Escape
16997,40000,"Jersey City,  NJ",2019,Toyota,Camry,Jersey City, NJ,0,1.0,Personal,Toyota Camry
16995,98757,"Brooklyn,  NY",2017,Cadillac,XT5,Brooklyn, NY,1,1.0,Personal,Cadillac XT5
23797,13950,"Jersey City,  NJ",2020,Kia,Sorento,Jersey City, NJ,0,1.0,Personal,Kia Sorento
16995,38724,"Bergenfield,  NJ",2017,Honda,Civic,Bergenfield, NJ,0,1.0,Personal,Honda Civic
21697,34971,"Jersey City,  NJ",2019,Chevrolet,Express Passenger,Jersey City, NJ,0,1.0,Personal,Chevrolet Express Passenger
12995,38899,"Long Island City,  NY",2017,Honda,Accord,Long Island City, NY,5,1.0,Personal,Honda Accord
14900,108950,"Belford,  NJ",2017,Ford,Explorer,Belford, NJ,0,2.0,Personal,Ford Explorer
20697,32750,"Jersey City,  NJ",2019,Jeep,Compass,Jersey City, NJ,0,1.0,Personal,Jeep Compass
11995,58867,"Newark,  NJ",2017,Ford,Escape,Newark, NJ,0,1.0,Fleet,Ford Escape
7998,50770,"Forest Hills,  NY",2015,Chrysler,200,Forest Hills, NY,0,1.0,Personal,Chrysler 200
19297,22320,"Jersey City,  NJ",2019,Nissan,Rogue,Jersey City, NJ,0,1.0,Personal,Nissan Rogue
14388,32508,"Little Falls,  NJ",2017,Toyota,Camry,Little Falls, NJ,0,1.0,Personal,Toyota Camry
9880,48876,"Bloomfield,  NJ",2011,Mercedes-Benz,C-Class,Bloomfield, NJ,2,3.0,Personal,Mercedes-Benz C-Class
13130,34770,"Jersey City,  NJ",2019,Hyundai,Elantra,Jersey City, NJ,0,1.0,Personal,Hyundai Elantra
22990,53762,"New York,  NY",2018,Honda,Accord,New York, NY,0,1.0,Personal,Honda Accord
15788,24317,"Bronx,  NY",2019,Ford,Fusion,Bronx, NY,0,1.0,Personal,Ford Fusion
4950,146988,"Brooklyn,  NY",2007,BMW,X3,Brooklyn, NY,2,4.0,Fleet,BMW X3
4950,92136,"Brooklyn,  NY",2010,Dodge,Journey,Brooklyn, NY,0,3.0,Fleet,Dodge Journey
22497,25812,"Jersey City,  NJ",2019,Chrysler,300,Jersey City, NJ,0,1.0,Personal,Chrysler 300
22897,34415,"Jersey City,  NJ",2020,Kia,Sorento,Jersey City, NJ,0,1.0,Personal,Kia Sorento
25397,34158,"Jersey City,  NJ",2020,GMC,Terrain,Jersey City, NJ,0,1.0,Personal,GMC Terrain
20297,22218,"Jersey City,  NJ",2019,Dodge,Journey,Jersey City, NJ,0,1.0,Personal,Dodge Journey
16597,21710,"Jersey City,  NJ",2019,Ford,Fusion,Jersey City, NJ,0,1.0,Personal,Ford Fusion
22997,21483,"Jersey City,  NJ",2019,Chrysler,300,Jersey City, NJ,0,1.0,Personal,Chrysler 300
3495,199066,"Jamaica,  NY",2005,Toyota,Prius,Jamaica, NY,2,4.0,Personal,Toyota Prius
18995,94764,"Brooklyn,  NY",2017,Jeep,Grand Cherokee,Brooklyn, NY,0,1.0,Personal,Jeep Grand Cherokee
