car_name,price,millage,location,history
Sponsored2019 Hyundai Elantra,"$13,130","34,770 miles","0.6 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
Sponsored2018 Honda Accord,"$22,990","53,762 miles","3.5 mi - New York, NY","No accidents, 1 Owner, Personal use"
Sponsored2019 Ford Fusion,"$15,788","24,317 miles","15 mi - Bronx, NY","No accidents, 1 Owner, Personal use"
2007 BMW X3,"$4,950","146,988 miles","5.7 mi - Brooklyn, NY","2 accidents, 4 Owners, Fleet use"
2010 Dodge Journey,"$4,950","92,136 miles","5.7 mi - Brooklyn, NY","No accidents, 3 Owners, Fleet use"
2019 Chrysler 300,"$22,497","25,812 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2020 Kia Sorento,"$22,897","34,415 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2020 GMC Terrain,"$25,397","34,158 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Dodge Journey,"$20,297","22,218 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Ford Fusion,"$16,597","21,710 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Chrysler 300,"$22,997","21,483 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2005 Toyota Prius,"$3,495","199,066 miles","14 mi - Jamaica, NY","2 accidents, 4 Owners, Personal use"
2017 Jeep Grand Cherokee,"$18,995","94,764 miles","8.3 mi - Brooklyn, NY","No accidents, 1 Owner, Personal use"
2019 Ford Fusion,"$16,497","22,205 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2008 Scion xD,"$3,699","140,710 miles","4.1 mi - Union City, NJ","1 accident, 4 Owners, Personal use"
2019 Dodge Journey,"$20,397","21,541 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Nissan Rogue,"$18,297","34,279 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Chevrolet Impala,"$17,497","34,196 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Dodge Grand Caravan,"$17,897","31,601 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Ford Escape,"$17,897","29,420 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Toyota Camry,"$16,997","40,000 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2017 Cadillac XT5,"$16,995","98,757 miles","8.3 mi - Brooklyn, NY","1 accident, 1 Owner, Personal use"
2020 Kia Sorento,"$23,797","13,950 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2017 Honda Civic,"$16,995","38,724 miles","14 mi - Bergenfield, NJ","No accidents, 1 Owner, Personal use"
2019 Chevrolet Express Passenger,"$21,697","34,971 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2017 Honda Accord,"$12,995","38,899 miles","8 mi - Long Island City, NY","5 accidents, 1 Owner, Personal use"
2017 Ford Explorer,"$14,900","108,950 miles","21 mi - Belford, NJ","No accidents, 2 Owners, Personal use"
2019 Jeep Compass,"$20,697","32,750 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2017 Ford Escape,"$11,995","58,867 miles","5.7 mi - Newark, NJ","No accidents, 1 Owner, Fleet use"
2015 Chrysler 200,"$7,998","50,770 miles","12 mi - Forest Hills, NY","No accidents, 1 Owner, Personal use"
2019 Nissan Rogue,"$19,297","22,320 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2017 Toyota Camry,"$14,388","32,508 miles","13 mi - Little Falls, NJ","No accidents, 1 Owner, Personal use"
2011 Mercedes-Benz C-Class,"$9,880","48,876 miles","7.5 mi - Bloomfield, NJ","2 accidents, 3 Owners, Personal use"
Sponsored2019 Hyundai Elantra,"$13,130","34,770 miles","0.6 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
Sponsored2018 Honda Accord,"$22,990","53,762 miles","3.5 mi - New York, NY","No accidents, 1 Owner, Personal use"
Sponsored2019 Ford Fusion,"$15,788","24,317 miles","15 mi - Bronx, NY","No accidents, 1 Owner, Personal use"
2007 BMW X3,"$4,950","146,988 miles","5.7 mi - Brooklyn, NY","2 accidents, 4 Owners, Fleet use"
2010 Dodge Journey,"$4,950","92,136 miles","5.7 mi - Brooklyn, NY","No accidents, 3 Owners, Fleet use"
2019 Chrysler 300,"$22,497","25,812 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2020 Kia Sorento,"$22,897","34,415 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2020 GMC Terrain,"$25,397","34,158 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Dodge Journey,"$20,297","22,218 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Ford Fusion,"$16,597","21,710 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Chrysler 300,"$22,997","21,483 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2005 Toyota Prius,"$3,495","199,066 miles","14 mi - Jamaica, NY","2 accidents, 4 Owners, Personal use"
2017 Jeep Grand Cherokee,"$18,995","94,764 miles","8.3 mi - Brooklyn, NY","No accidents, 1 Owner, Personal use"
2019 Ford Fusion,"$16,497","22,205 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2008 Scion xD,"$3,699","140,710 miles","4.1 mi - Union City, NJ","1 accident, 4 Owners, Personal use"
2019 Dodge Journey,"$20,397","21,541 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Nissan Rogue,"$18,297","34,279 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Chevrolet Impala,"$17,497","34,196 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Dodge Grand Caravan,"$17,897","31,601 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Ford Escape,"$17,897","29,420 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Toyota Camry,"$16,997","40,000 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2017 Cadillac XT5,"$16,995","98,757 miles","8.3 mi - Brooklyn, NY","1 accident, 1 Owner, Personal use"
2020 Kia Sorento,"$23,797","13,950 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2017 Honda Civic,"$16,995","38,724 miles","14 mi - Bergenfield, NJ","No accidents, 1 Owner, Personal use"
2019 Chevrolet Express Passenger,"$21,697","34,971 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2017 Honda Accord,"$12,995","38,899 miles","8 mi - Long Island City, NY","5 accidents, 1 Owner, Personal use"
2017 Ford Explorer,"$14,900","108,950 miles","21 mi - Belford, NJ","No accidents, 2 Owners, Personal use"
2019 Jeep Compass,"$20,697","32,750 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2017 Ford Escape,"$11,995","58,867 miles","5.7 mi - Newark, NJ","No accidents, 1 Owner, Fleet use"
2015 Chrysler 200,"$7,998","50,770 miles","12 mi - Forest Hills, NY","No accidents, 1 Owner, Personal use"
2019 Nissan Rogue,"$19,297","22,320 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2017 Toyota Camry,"$14,388","32,508 miles","13 mi - Little Falls, NJ","No accidents, 1 Owner, Personal use"
2011 Mercedes-Benz C-Class,"$9,880","48,876 miles","7.5 mi - Bloomfield, NJ","2 accidents, 3 Owners, Personal use"
2010 Mercedes-Benz CLS,"$11,972","88,340 miles","1.3 mi - Jersey City, NJ","No accidents, 6 Owners, Fleet use"
2009 Lexus RX,"$8,972","117,356 miles","1.3 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Mitsubishi Eclipse Cross,"$15,797","27,494 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Dodge Journey,"$19,197","20,999 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2016 Ford Edge,"$15,492","81,321 miles","1.3 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2012 Honda Civic,"$8,499","79,032 miles","2.5 mi - Union City, NJ","No accidents, 2 Owners, Personal use"
2013 Chrysler Town & Country,"$8,999","73,277 miles","2.5 mi - Union City, NJ","No accidents, 1 Owner, Personal use"
2017 Honda Accord,"$20,995","38,944 miles","2.9 mi - Union City, NJ","1 accident, 1 Owner, Personal use"
2017 Jeep Grand Cherokee,"$17,972","60,765 miles","1.3 mi - Jersey City, NJ","No accidents, 2 Owners, Personal use"
2019 Lincoln Navigator,"$52,997","28,436 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2009 BMW 5 Series,"$8,972","98,629 miles","1.3 mi - Jersey City, NJ","1 accident, 2 Owners, Fleet use"
2011 Volvo C70,"$8,973","101,516 miles","1.3 mi - Jersey City, NJ","No accidents, 3 Owners, Personal use"
2010 Kia Forte,"$3,972","133,186 miles","1.3 mi - Jersey City, NJ","No accidents, 2 Owners, Personal use"
2008 Scion xD,"$3,699","140,710 miles","4.1 mi - Union City, NJ","1 accident, 4 Owners, Personal use"
2020 Chevrolet Malibu,"$18,597","26,800 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Mitsubishi Outlander,"$16,897","28,319 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Chevrolet Express Passenger,"$22,597","23,878 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2016 Nissan Altima,"$9,495","77,770 miles","2.5 mi - Union City, NJ","1 accident, 2 Owners, Fleet use"
2013 BMW 7 Series,"$17,984","88,193 miles","1.3 mi - Jersey City, NJ","No accidents, 2 Owners, Personal use"
2014 BMW 6 Series,"$22,792","85,399 miles","1.3 mi - Jersey City, NJ","No accidents, 3 Owners, Fleet use"
2019 Kia Soul,"$15,297","24,433 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2015 Ford Edge,"$17,495","46,675 miles","2.9 mi - Union City, NJ","No accidents, 1 Owner, Personal use"
2015 Mercedes-Benz GL,"$21,995","92,517 miles","2.9 mi - Union City, NJ","1 accident, 1 Owner, Personal use"
2019 Kia Soul,"$14,597","35,562 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2015 Chevrolet Equinox,"$12,995","39,667 miles","2.9 mi - Union City, NJ","No accidents, 1 Owner, Personal use"
2006 Lexus SC,"$12,777","106,105 miles","1.3 mi - Jersey City, NJ","2 accidents, 5 Owners, Personal use"
2019 Jeep Compass,"$18,897","41,882 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Dodge Grand Caravan,"$19,797","28,059 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2008 Bentley Flying Spur,"$39,792","30,035 miles","1.3 mi - Jersey City, NJ","1 accident, 1 Owner, Personal use"
2007 BMW X3,"$4,950","146,988 miles","5.7 mi - Brooklyn, NY","2 accidents, 4 Owners, Fleet use"
2017 Lexus ES,"$24,996","13,943 miles","13 mi - Little Falls, NJ","No accidents, 1 Owner, Personal use"
2019 Ford Fusion,"$20,397","20,376 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Jeep Cherokee,"$23,697","32,399 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2007 Mercedes-Benz SL,"$12,472","108,898 miles","1.3 mi - Jersey City, NJ","No accidents, 7 Owners, Personal use"
2016 Ford Fusion,"$10,942","47,368 miles","6.2 mi - Carlstadt, NJ","No accidents, 3 Owners, Fleet use"
2017 Nissan Versa,"$5,999","84,011 miles","8.6 mi - Irvington, NJ","No accidents, 2 Owners, Fleet use"
2019 Jeep Compass,"$19,097","36,433 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2016 Ford Fusion,"$8,900","49,131 miles","21 mi - Belford, NJ","1 accident, 2 Owners, Fleet use"
2017 Chevrolet Malibu,"$9,900","78,475 miles","21 mi - Belford, NJ","No accidents, 1 Owner, Fleet use"
2005 Volvo XC90,"$2,950","190,210 miles","5.7 mi - Brooklyn, NY","3 accidents, 3 Owners, Personal use"
2012 Honda Civic,"$8,499","79,032 miles","2.5 mi - Union City, NJ","No accidents, 2 Owners, Personal use"
2007 Lexus GX,"$8,982","135,079 miles","8.4 mi - Hasbrouck Heights, NJ","No accidents, 4 Owners, Personal use"
2017 Toyota Camry,"$12,900","30,006 miles","8.2 mi - Hillside, NJ","1 accident, 2 Owners, Fleet use"
2019 Chevrolet Equinox,"$19,597","36,393 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Ford EcoSport,"$17,397","27,934 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2010 Volkswagen Passat,"$4,999","123,702 miles","5.7 mi - Brooklyn, NY","No accidents, 3 Owners, Fleet use"
2013 BMW X3,"$10,495","113,812 miles","4.3 mi - Newark, NJ","No accidents, 2 Owners, Personal use"
2017 GMC Savana Cargo Van,"$15,542","52,378 miles","6.2 mi - Carlstadt, NJ","No accidents, 1 Owner, Personal use"
2013 Chrysler Town & Country,"$8,999","73,277 miles","2.5 mi - Union City, NJ","No accidents, 1 Owner, Personal use"
2007 Mercedes-Benz S-Class,"$12,995","90,150 miles","14 mi - Jamaica, NY","No accidents, 1 Owner, Personal use"
2013 Jeep Grand Cherokee,"$9,999","107,207 miles","5.7 mi - Brooklyn, NY","No accidents, 3 Owners, Personal use"
2013 Subaru Tribeca,"$15,995","68,608 miles","17 mi - Emerson, NJ","No accidents, 1 Owner, Personal use"
2017 Honda Accord,"$12,795","73,405 miles","11 mi - Union, NJ","No accidents, 1 Owner, Personal use"
2003 Nissan Sentra,"$1,995","142,600 miles","7.1 mi - Staten Island, NY","1 accident, 3 Owners, Personal use"
2019 Honda Accord,"$18,690","19,951 miles","10 mi - Elmhurst, NY","No accidents, 1 Owner, Personal use"
2013 Ford Escape,"$7,800","62,151 miles","4.4 mi - Bayonne, NJ","1 accident, 4 Owners, Personal use"
2019 Chevrolet Express Passenger,"$21,497","34,842 miles","4.6 mi - New York, NY","No accidents, 1 Owner, Personal use"
2017 GMC Savana Cargo Van,"$15,542","52,796 miles","6.2 mi - Carlstadt, NJ","No accidents, 1 Owner, Personal use"
2016 Kia Sedona,"$8,950","107,450 miles","5.7 mi - Brooklyn, NY","4 accidents, 2 Owners, Fleet use"
2018 Ford F-150,"$22,742","75,293 miles","6.2 mi - Carlstadt, NJ","1 accident, 1 Owner, Personal use"
2010 BMW 5 Series,"$10,972","120,080 miles","1.3 mi - Jersey City, NJ","No accidents, 2 Owners, Personal use"
2012 Mercedes-Benz S-Class,"$16,978","101,879 miles","1.3 mi - Jersey City, NJ","No accidents, 3 Owners, Fleet use"
